item,title,genreLabel,boxofficeww,boxofficeusa,publicationdate,reviewscore,budget
http://www.wikidata.org/entity/Q1475119,The Return of the Living Dead,comedy film,,,,7.3/10,4000000 ARS
http://www.wikidata.org/entity/Q1392442,Clear and Present Danger,drama film,215887717,,,80%,62000000 USD
http://www.wikidata.org/entity/Q19364012,Zeroville,film based on a novel,,,,4.1/10,
http://www.wikidata.org/entity/Q23759268,The Mummy,horror film,409231607,,,16%,125000000 USD
http://www.wikidata.org/entity/Q1305784,New York Minute,teen film,,,,11%,30000000 USD
http://www.wikidata.org/entity/Q318766,The Terminal,tragicomedy,219417255,,,61%,
http://www.wikidata.org/entity/Q131390,300,war film,,,2007-03-09T00:00:00Z,61%,65000000 USD
http://www.wikidata.org/entity/Q3604746,Avatar: The Way of Water,science fiction film,2176229105,622024190,2022-12-16T00:00:00Z,76%,250000000 USD
http://www.wikidata.org/entity/Q308681,Lord of War,action film,72617068,24149632,2005-09-16T00:00:00Z,6.3/10,50000000 USD
http://www.wikidata.org/entity/Q1004410,喋血街頭,crime film,8545123,,1991-07-26T00:00:00Z,100%,3500000 USD
http://www.wikidata.org/entity/Q909749,The Thing,slasher film,,,,34%,38000000 USD
http://www.wikidata.org/entity/Q970089,Unfaithful,drama film,,,,5.8/10,50000000 USD
http://www.wikidata.org/entity/Q208263,The Green Mile,drama film,286801374,,,6.8/10,60000000 USD
http://www.wikidata.org/entity/Q3266461,Mud,drama film,,,,97%,10000000 USD
http://www.wikidata.org/entity/Q18350210,London Has Fallen,action film,,,2016-03-04T00:00:00Z,4.1/10,60000000 USD
http://www.wikidata.org/entity/Q25188,Inception,heist film,836848102,292587330,2010-07-16T00:00:00Z,87%,160000000 USD
http://www.wikidata.org/entity/Q4254026,The Amazing Spider-Man 2,science fiction film,708982323,,2014-05-02T00:00:00Z,51%,
http://www.wikidata.org/entity/Q165325,Kill Bill Volume 1,action thriller,180906076,70099045,2003-10-10T00:00:00Z,7.7/10,30000000 USD
http://www.wikidata.org/entity/Q85790963,La Ruse,film based on books,15710164,,2022-05-11T00:00:00Z,84%,6300000 USD
http://www.wikidata.org/entity/Q75539,Just like Heaven,film based on a novel,,,,54,58000000 USD
http://www.wikidata.org/entity/Q91540,Back to the Future,speculative/fantastic fiction film,383336762,212836762,1985-07-03T00:00:00Z,93%,19000000 USD
http://www.wikidata.org/entity/Q17984058,The Last Witch Hunter,horror film,,,,18%,90000000 USD
http://www.wikidata.org/entity/Q29261993,Mission: Impossible – Fallout,adventure film,791657398,220159104,2018-07-27T00:00:00Z,8.4/10,178000000 USD
http://www.wikidata.org/entity/Q219776,X2,speculative/fantastic fiction film,407700000,,2003-05-02T00:00:00Z,85%,
http://www.wikidata.org/entity/Q401976,Fast Five,heist film,626137675,209837675,2011-04-29T00:00:00Z,78%,125000000 USD
http://www.wikidata.org/entity/Q25188,Inception,science fiction film,829895144,292587330,2010-07-16T00:00:00Z,87%,160000000 USD
http://www.wikidata.org/entity/Q104137,Unforgiven,drama film,159167799,101167799,1992-08-07T00:00:00Z,96%,14400000 USD
http://www.wikidata.org/entity/Q21130624,Underworld: Blood Wars,girls with guns,,,2016-01-06T00:00:00Z,21%,35000000 USD
http://www.wikidata.org/entity/Q1473804,High Fidelity,musical film,47126295,27287137,2000-03-31T00:00:00Z,91%,30000000 USD
http://www.wikidata.org/entity/Q18199330,Fantastic Beasts and Where to Find Them,adventure film,814044001,234037575,2016-11-18T00:00:00Z,74%,180000000 USD
