title,release_year,genres,score,budget,revenue
The Birth of a Nation,1915,"['Drama', 'History', 'War']",64,100000,11000000
The Cheat,1915,['Drama'],48,17311,137365
The Kid,1921,"['Comedy', 'Drama']",80,250000,2500000
Foolish Wives,1922,['Drama'],64,1100000,400200
The Thief of Bagdad,1924,"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy']",74,1135654,1213880
Ben-Hur: A Tale of the Christ,1925,"['Adventure', 'Drama']",73,3900000,9000000
The Big Parade,1925,"['Drama', 'Romance', 'War']",70,245000,22000000
The Gold Rush,1925,"['Adventure', 'Comedy', 'Drama']",77,923000,2500000
The Unholy Three,1925,"['Crime', 'Drama', 'Romance']",58,103000,704000
Flesh and the Devil,1926,"['Drama', 'Romance']",79,373000,658000
Metropolis,1927,"['Drama', 'Science Fiction']",80,92620000,650422
The Broadway Melody,1929,"['Drama', 'Music', 'Romance']",50,379000,4358000
Hell's Angels,1930,"['Action', 'Drama', 'History']",61,3950000,8000000
City Lights,1931,"['Comedy', 'Drama', 'Romance']",82,1500000,19181
Dracula,1931,['Horror'],72,355000,1012189
Frankenstein,1931,"['Drama', 'Horror', 'Science Fiction']",73,291000,12000000
Grand Hotel,1932,"['Drama', 'Romance']",65,700000,2594000
42nd Street,1933,"['Music', 'Comedy', 'Romance']",61,439000,2281000
Cavalcade,1933,['Drama'],46,1180280,7630000
King Kong,1933,"['Action', 'Adventure', 'Drama', 'Horror']",77,672000,10000000
Queen Christina,1933,"['Drama', 'History', 'Romance']",68,1114000,2610000
She Done Him Wrong,1933,['Comedy'],52,200000,2200000
It Happened One Night,1934,"['Comedy', 'Romance']",77,325000,4500000
The Thin Man,1934,"['Comedy', 'Crime', 'Mystery']",74,226408,1423000
Anna Karenina,1935,"['Drama', 'Romance']",66,1152000,1439000
Mutiny on the Bounty,1935,"['Adventure', 'Drama', 'History', 'Romance']",71,1950000,4460000
The Informer,1935,['Drama'],65,243000,950000
Top Hat,1935,"['Comedy', 'Music', 'Romance']",74,609000,3202000
Modern Times,1936,"['Drama', 'Comedy']",81,1,8500000
San Francisco,1936,"['Music', 'Drama', 'Romance']",70,1300000,5273000
Swing Time,1936,"['Comedy', 'Music', 'Romance']",71,886000,2600000
The Charge of the Light Brigade,1936,"['Action', 'Adventure', 'Drama', 'War']",68,1200000,2736000
Snow White and the Seven Dwarfs,1937,"['Fantasy', 'Animation', 'Family']",69,1488423,184925486
The Adventures of Robin Hood,1938,"['Action', 'Adventure', 'Romance']",76,2033000,3981000
