title,release_year,genres,score,budget,revenue
Æon Flux,2006,"Science Fiction, Action, Thriller",56.0,62000000.0,53321673.0
¡Three Amigos!,1986,"Comedy, Adventure, Western",63.0,25000000.0,39200000.0
xXx: State of the Union,2005,"Action, Adventure, Crime, Mystery, Thriller",50.0,60000000.0,71073932.0
xXx: Return of Xander Cage,2017,"Action, Adventure, Crime",61.0,85000000.0,345033359.0
xXx,2002,"Action, Adventure, Thriller",59.0,70000000.0,267200000.0
"tick, tick... BOOM!",2021,"Drama, Music",77.0,119800000.0,552113772.8
"sex, lies, and videotape",1989,Drama,69.0,1200000.0,24741667.0
mother!,2017,"Drama, Horror, Mystery",70.0,30000000.0,44516999.0
mid90s,2019,"Drama, Comedy",75.0,258158.0,6897446.0
iParty with Victorious,2011,"TV Movie, Comedy, Family, Music",76.0,135000000.0,547825373.4
iCarly: iGo to Japan,2008,"Comedy, Family",68.0,120400000.0,461753653.4
iBoy,2017,"Action, Science Fiction",60.0,1500000.0,23533154.4
eXistenZ,1999,"Action, Thriller, Science Fiction, Horror",68.0,20700000.0,2840417.0
"ariana grande: excuse me, i love you",2020,"Music, Documentary",82.0,106800000.0,704045288.8
Zulu,1964,"Action, Drama, History, War",74.0,16000000.0,1844228.0
Zootopia,2016,"Animation, Adventure, Family, Comedy",77.0,150000000.0,1002462578.0
Zoombies,2016,"Science Fiction, Action, Horror",52.0,90800000.0,245520574.6
Zoom,2006,"Family, Comedy, Adventure, Action, Science Fiction",54.0,35000000.0,12506188.0
Zoolander 2,2016,"Comedy, Adventure, Action",49.0,50000000.0,55348693.0
Zoolander,2001,Comedy,62.0,28000000.0,60780981.0
Zookeeper,2011,"Comedy, Romance, Family",54.0,80000000.0,170805525.0
Zone 414,2021,"Science Fiction, Thriller, Mystery",54.0,5000000.0,54969744.8
Zombies: A Living History,2011,Documentary,70.0,100140523.8,625891229.0
Zombieland: Double Tap,2019,"Comedy, Horror",70.0,48000000.0,125213018.0
Zombieland,2009,"Comedy, Horror",73.0,23600000.0,102236596.0
Zombie Wars,2007,Horror,41.0,118800000.0,162020273.4
Zombie Strippers!,2008,"Comedy, Horror",48.0,109000000.0,863034975.4
Zombie Shark,2015,"Horror, Science Fiction, TV Movie, Action",41.0,101800000.0,858637629.0
Zombie Apocalypse,2011,"Action, Horror, Science Fiction",54.0,159600000.0,459045829.8
Zombeavers,2015,"Horror, Action, Comedy",49.0,2401100.0,14947.0
Zola,2021,"Comedy, Crime",62.0,5000000.0,5170200.0
Zog and the Flying Doctors,2021,"Animation, Family",66.0,127000000.0,325823441.8
Zodiac,2007,"Crime, Drama, Mystery, Thriller",75.0,85000000.0,83080084.0
Zeros and Ones,2022,"War, Thriller",50.0,154600000.0,678277032.0
Zero Dark Thirty,2013,"Thriller, Drama, History",70.0,52500000.0,134612435.0
Zebra Lounge,2001,Thriller,39.0,102000000.0,813941432.2
Zathura: A Space Adventure,2006,"Science Fiction, Adventure, Family",64.0,65000000.0,65079104.0
Zapped!,1982,Comedy,53.0,97250080.0,462439605.0
Zandalee,1992,"Drama, Romance, Thriller",40.0,101800000.0,858637629.0
Zambezia,2012,"Comedy, Animation, Adventure, Family",60.0,20000000.0,34454336.0
