title,release_year,genres,score,budget,revenue,duplicated_status
X,2022,"Horror, Mystery, Thriller",68.0,1000000.0,15113105.0,True
X,2011,"Action, Thriller, Romance",65.0,1000000.0,15113105.0,True
Wuthering Heights,1992,"Drama, Romance",67.0,8000000.0,2721534.0,True
Wuthering Heights,2012,"Drama, Romance",59.0,8000000.0,2721534.0,True
Wrong Turn,2021,"Horror, Thriller",60.0,10000000.0,28649556.0,True
Wrong Turn,2003,"Horror, Thriller",63.0,10000000.0,28649556.0,True
Wonder Woman,2017,"Action, Adventure, Fantasy",72.0,150000000.0,817691766.0,True
Wonder Woman,2009,"Action, Adventure, Animation, Fantasy, Science Fiction",72.0,150000000.0,817691766.0,True
White Noise,2022,"Comedy, Drama, Science Fiction",56.0,10000000.0,92094360.0,True
White Noise,2005,"Drama, Horror, Thriller",56.0,10000000.0,92094360.0,True
West Side Story,2021,"Drama, Romance, Crime",71.0,100000000.0,74826329.0,True
West Side Story,1961,"Crime, Drama, Romance",73.0,100000000.0,74826329.0,True
Warlock,1989,"Horror, Fantasy, Action",63.0,7000000.0,8824553.0,True
Warlock,1959,Western,67.0,7000000.0,8824553.0,True
Walking Tall,2004,"Adventure, Drama, Action, Thriller",63.0,56000000.0,47856383.0,True
Walking Tall,1973,"Action, Crime, Drama",67.0,56000000.0,47856383.0,True
Vice,2015,"Thriller, Science Fiction, Action, Adventure",44.0,60000000.0,70893782.0,True
Vice,2018,"Comedy, Drama",71.0,60000000.0,70893782.0,True
Venom,2018,"Science Fiction, Action",68.0,116000000.0,856081053.0,True
Venom,2005,"Horror, Thriller",55.0,116000000.0,856081053.0,True
True Grit,2011,"Drama, Adventure, Western",73.0,35000000.0,252276928.0,True
True Grit,1969,Western,74.0,35000000.0,252276928.0,True
Total Recall,2012,"Action, Science Fiction, Thriller",60.0,65000000.0,261399830.0,True
Total Recall,1990,"Action, Adventure, Science Fiction",73.0,65000000.0,261399830.0,True
Titanic,1997,"Drama, Romance",79.0,200000000.0,2222985568.0,True
Titanic,1953,"Drama, Romance",66.0,200000000.0,2222985568.0,True
The Way Back,2020,Drama,66.0,23000000.0,14563409.0,True
The Way Back,2011,"Drama, Adventure, History",70.0,23000000.0,14563409.0,True
The Time Machine,2002,"Science Fiction, Adventure, Action",62.0,80000000.0,98983590.0,True
The Time Machine,1960,"Thriller, Adventure, Fantasy, Science Fiction, Romance",74.0,80000000.0,98983590.0,True
The Three Musketeers,2011,"Adventure, Action, Thriller",58.0,90000000.0,139877913.0,True
The Three Musketeers,1973,"Adventure, Comedy, History",69.0,90000000.0,139877913.0,True
The Three Musketeers,1993,"Action, Adventure, Comedy",64.0,90000000.0,139877913.0,True
The Thomas Crown Affair,1969,"Crime, Drama, Romance, Thriller",69.0,48000000.0,124304264.0,True
The Thomas Crown Affair,1999,"Drama, Crime, Romance",67.0,48000000.0,124304264.0,True
The Thing,1982,"Horror, Mystery, Science Fiction",80.0,38000000.0,27573078.0,True
The Thing,2011,"Horror, Science Fiction, Mystery, Thriller",62.0,38000000.0,27573078.0,True
The Ten Commandments,1958,"Drama, History",78.0,13500000.0,85433929.0,True
The Ten Commandments,2007,"Animation, Drama, Family, History",52.0,13500000.0,85433929.0,True
The Ten Commandments,1923,Drama,68.0,13500000.0,85433929.0,True
The Siege,1998,"Drama, Action, Thriller, Crime",63.0,70000000.0,116625798.0,True
The Siege,2023,"Action, Thriller",50.0,70000000.0,116625798.0,True
The Saint,2017,"Action, Adventure, Crime",53.0,90000000.0,169400000.0,True
The Saint,1997,"Thriller, Action, Romance, Science Fiction, Adventure",61.0,90000000.0,169400000.0,True
The Punisher,2004,"Action, Crime, Drama",63.0,33000000.0,54533774.0,True
The Punisher,1989,"Action, Thriller",57.0,33000000.0,54533774.0,True
The Pink Panther,1964,"Comedy, Crime",69.0,80000000.0,158926474.0,True
The Pink Panther,2006,"Comedy, Mystery, Crime, Adventure, Family",58.0,80000000.0,158926474.0,True
The Omen,1976,"Horror, Thriller",74.0,25000000.0,119295584.0,True
The Omen,2006,Horror,56.0,25000000.0,119295584.0,True
The Nutty Professor,1996,"Fantasy, Comedy, Romance, Science Fiction",56.0,55000000.0,273814019.0,True
The Nutty Professor,1963,"Comedy, Romance, Science Fiction",66.0,55000000.0,273814019.0,True
The Mummy,1999,"Adventure, Action, Fantasy",69.0,80000000.0,416385488.0,True
The Mummy,2017,"Fantasy, Thriller, Action, Adventure, Horror",55.0,80000000.0,416385488.0,True
The Misfits,2021,"Action, Thriller",55.0,4000000.0,8200000.0,True
The Misfits,1961,"Western, Drama, Action, Romance",69.0,4000000.0,8200000.0,True
The Magnificent Seven,2016,"Adventure, Action, Western",64.0,90000000.0,162122642.0,True
The Magnificent Seven,1987,"Western, Action, Adventure",75.0,90000000.0,162122642.0,True
The Longest Yard,2005,Comedy,66.0,82000000.0,191558505.0,True
The Longest Yard,1974,"Comedy, Drama",68.0,82000000.0,191558505.0,True
The Lion King,1994,"Family, Animation, Drama",83.0,260000000.0,1647733638.0,True
The Lion King,2019,"Adventure, Drama, Family",71.0,260000000.0,1647733638.0,True
The Last House on the Left,2009,"Crime, Thriller, Horror, Drama",64.0,15000000.0,46526243.0,True
The Last House on the Left,2004,"Horror, Thriller",60.0,15000000.0,46526243.0,True
The Kid,2000,"Fantasy, Comedy, Family",65.0,65000000.0,69688384.0,True
The Kid,2021,"Comedy, Drama",82.0,65000000.0,69688384.0,True
The Karate Kid,2010,"Action, Adventure, Drama, Family",65.0,40000000.0,351774938.0,True
The Karate Kid,1984,"Action, Family, Drama",72.0,40000000.0,351774938.0,True
The Jungle Book,1968,"Family, Animation, Adventure",73.0,175000000.0,953535821.0,True
