title,release_year,genres,score,budget,revenue
(500) Days of Summer,2009,"['Comedy', 'Drama', 'Romance']",72.0,7500000,60722734
10 Cloverfield Lane,2016,"['Thriller', 'Science Fiction', 'Drama']",68.0,15000000,108286421
10 Things I Hate About You,1999,"['Comedy', 'Romance', 'Drama']",73.0,16000000,53478166
10 to Midnight,1983,"['Horror', 'Crime', 'Thriller', 'Drama']",61.0,4520000,7175592
"10,000 BC",2008,"['Adventure', 'Action', 'Drama', 'Fantasy']",51.0,105000000,266000000
101 Dalmatians,1996,"['Comedy', 'Family']",56.0,54000000,320689294
102 Dalmatians,2000,"['Comedy', 'Family']",51.0,85000000,183611771
10th & Wolf,2006,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",63.0,8000000,143451
12,2007,"['Crime', 'Drama']",66.0,4000000,7537453
12 Angry Men,1957,['Drama'],82.0,350000,1000000
12 Rounds,2009,"['Action', 'Adventure', 'Drama', 'Thriller']",57.0,20000000,17280326
12 Years a Slave,2013,"['Drama', 'History']",79.0,20000000,187000000
127 Hours,2010,"['Adventure', 'Drama', 'Thriller']",70.0,18000000,35692920
13 Assassins,2010,"['Adventure', 'Drama', 'Action']",71.0,6000000,17555141
13 Going on 30,2004,"['Comedy', 'Fantasy', 'Romance']",63.0,37000000,96455697
13 Hours: The Secret Soldiers of Benghazi,2016,"['Action', 'Drama', 'History', 'Thriller', 'War']",70.0,50000000,69411370
13 Sins,2014,"['Horror', 'Thriller']",63.0,5000000,1000000
1408,2007,"['Horror', 'Thriller']",65.0,25000000,94679598
1492: Conquest of Paradise,1992,"['Action', 'Adventure', 'Drama', 'History']",61.0,47000000,7191399
15 Minutes,2001,"['Action', 'Crime', 'Thriller']",57.0,60000000,56359980
16 Blocks,2006,"['Action', 'Adventure', 'Crime', 'Thriller']",62.0,55000000,65664721
17 Again,2009,['Comedy'],61.0,20000000,136267476
17 Girls,2011,['Drama'],56.0,4141459,201607
1911,2011,"['Adventure', 'Drama', 'Action', 'History', 'War']",50.0,30000000,108348
1941,1979,"['Action', 'Comedy']",56.0,35000000,31755742
2 Days in New York,2012,['Comedy'],54.0,8000000,1653792
2 Fast 2 Furious,2003,"['Action', 'Crime', 'Thriller']",62.0,76000000,236350661
2 Guns,2013,"['Action', 'Comedy', 'Crime']",66.0,61000000,131940411
"20,000 Leagues Under the Sea",1954,"['Adventure', 'Drama', 'Science Fiction']",69.0,5000000,28200000
"20,000 Leagues Under the Sea",2016,"['Adventure', 'Drama', 'Action', 'Science Fiction']",61.0,200000,8000000
200 Cigarettes,1999,"['Comedy', 'Drama', 'Romance']",61.0,6000000,6852450
2001: A Space Odyssey,1968,"['Science Fiction', 'Mystery', 'Adventure']",79.0,10500000,68700000
2010,1984,"['Thriller', 'Science Fiction']",66.0,28000000,40400657
2012,2009,"['Action', 'Adventure', 'Science Fiction']",56.0,200000000,769653595
2016: Obama's America,2012,['Documentary'],46.0,2500000,33400000
2046,2004,"['Fantasy', 'Drama', 'Science Fiction', 'Romance']",69.0,12000000,19271312
20th Century Boys - Chapter 1: Beginning of the End,2008,"['Science Fiction', 'Adventure', 'Mystery']",67.0,20000000,31244858
20th Century Women,2016,['Drama'],73.0,7000000,5816211
21,2008,"['Drama', 'Crime']",65.0,35000000,69823199
21 & Over,2013,['Comedy'],57.0,13000000,48065672
21 Grams,2003,"['Drama', 'Crime', 'Thriller']",72.0,20000000,60427839
21 Jump Street,2012,"['Action', 'Comedy', 'Crime']",67.0,42000000,201585328
22 Jump Street,2014,"['Crime', 'Comedy', 'Action']",70.0,50000000,188441614
24,2016,"['Action', 'Science Fiction', 'Thriller']",71.0,10000000,15000000
25th Hour,2002,"['Crime', 'Drama']",72.0,15000000,13060843
27 Dresses,2008,"['Comedy', 'Romance']",61.0,30000000,160259319
28 Days Later,2002,"['Horror', 'Thriller', 'Science Fiction']",71.0,5000000,82719885
28 Weeks Later,2007,"['Horror', 'Thriller', 'Science Fiction']",65.0,15000000,64238440
3 Days to Kill,2014,"['Action', 'Drama', 'Thriller', 'Crime']",60.0,28000000,52597999
