title,release_year,genres,score,budget,revenue
10 Things I Hate About You,1999.0,"coming-of-age fiction, romantic comedy, teen film, comedy drama",62.0,13000000.0,53478579.0
12 Strong,2018.0,"drama film, action film, war film",55.0,35000000.0,71118378.0
127 Hours,2010.0,"film based on books, survival film, docudrama, drama film, biographical film",83.0,18000000.0,60000000.0
1917,2019.0,"drama film, war film",84.0,95000000.0,384919389.0
1917,2020.0,"drama film, war film",84.0,95000000.0,384919389.0
2 Fast 2 Furious,2003.0,"crime film, action film, thriller film",36.0,76000000.0,236350661.0
2001: A Space Odyssey,1968.0,"space adventure film, epic film, film based on literature, mystery film",92.0,10500000.0,146000000.0
2012,2009.0,"science fiction film, disaster film",52.0,280000000.0,791217826.0
21 Jump Street,2012.0,"buddy cop film, comedy film, crime film, action film, teen film, buddy film",72.0,55000000.0,201585328.0
22 Jump Street,2014.0,"buddy cop film, comedy film, action film, teen film",70.0,65000000.0,331333876.0
28 Weeks Later,2007.0,"horror film, post-apocalyptic film, drama film, action film, zombie film",66.0,15000000.0,65048678.0
8 Mile,2002.0,"drama film, musical film, hood film, coming-of-age fiction",75.0,41000000.0,242900000.0
A Hologram for the King,2016.0,"comedy film, drama film",62.0,35000000.0,11846010.0
A Place in the Sun,1951.0,"film based on literature, drama film, film noir, romance film",75.0,2300000.0,7000000.0
A Quiet Place,2018.0,"horror film, thriller film, post-apocalyptic film, science fiction film, apocalyptic film",96.0,17000000.0,340952971.0
A Star Is Born,2018.0,"romance film, romantic drama, musical film",90.0,36000000.0,430718255.0
A Time to Kill,1996.0,"thriller film, trial film, drama film, vigilante film, crime film, film based on a novel",62.0,40000000.0,152266007.0
A View to a Kill,1985.0,"thriller, film based on literature, adventure film, action film, spy film, thriller film",37.0,30000000.0,152400000.0
A Woman's Face,1941.0,"film noir, crime film, romance film, drama film",70.0,1343000.0,1907000.0
A.I. Artificial Intelligence,2001.0,"film based on literature, science fiction film, drama film, post-apocalyptic film",66.0,100000000.0,235926552.0
Ad Astra,2019.0,"science fiction film, thriller film, epic film",83.0,90000000.0,127461872.0
Addams Family Values,1993.0,"fantasy film, horror film, comedy film",77.0,47000000.0,110900000.0
Air Force One,1997.0,"action film, thriller film",71.0,85000000.0,315156409.0
Airport,1970.0,"disaster film, film based on literature",62.0,10000000.0,128400000.0
Airport '77,1977.0,"action film, disaster film, drama film",51.0,6000000.0,91000000.0
Airport 1975,1974.0,"thriller film, disaster film, film based on literature, action film",29.0,3000000.0,103000000.0
Aladdin,2019.0,"adventure film, action film, musical film, fantasy film, family film, romance film, speculative/fantastic fiction film",59.0,183000000.0,1050693953.0
Alien,1979.0,"science fiction film, horror film, thriller film, action film",91.0,11000000.0,106285522.0
Alien Nation,1988.0,"science fiction film, buddy film, buddy cop film, action film",54.0,16000000.0,32155047.0
Aliens,1986.0,"action film, science fiction film, horror film, thriller film, adventure film",98.0,18500000.0,131060248.0
All About Eve,1950.0,"film based on literature, comedy film, drama film",93.0,1400000.0,8489279.0
All Through the Night,1942.0,"drama film, crime film, war film, comedy thriller, thriller film",75.0,643000.0,1968000.0
Alligator,1980.0,"monster film, comedy horror, science fiction film",62.0,1750000.0,6459000.0
Amadeus,1984.0,"drama film, musical film, costume drama, biographical film, flashback film",89.0,18000000.0,90000000.0
American Psycho,2000.0,"drama film, crime film, film based on a novel, slasher film, thriller film, comedy horror",63.0,8000000.0,34266564.0
American Sniper,2014.0,"action film, drama film, film based on books, biographical film, war film",69.0,58800000.0,547426372.0
Annihilation,2018.0,"drama film, action film, science fiction film, film based on a novel, horror film, thriller film",77.0,40000000.0,43070915.0
Ant-Man,2015.0,"action film, adventure film, superhero film, science fiction film, comedy film",69.0,130000000.0,519311965.0
Ant-Man and the Wasp,2018.0,"superhero film, comedy film, adventure film, action film, science fiction film",87.0,162000000.0,622674139.0
Ant-Man and the Wasp: Quantumania,2023.0,"adventure film, action film, thriller film, speculative/fantastic fiction film, science fiction film, comedy film",46.0,200000000.0,476069301.0
Apocalypse Now,1979.0,"drama film, action film, war film, film based on books",98.0,31500000.0,92158064.0
Apollo 13,1995.0,"disaster film, adventure film, docudrama, drama film, historical film, film based on books, survival film",81.0,62000000.0,355237933.0
Arabian Nights,1942.0,"action film, adventure film, circus film",75.0,904765.0,3453416.0
Arctic,2019.0,survival film,90.0,2000000.0,4165776.0
Armageddon,1998.0,"action film, science fiction film, speculative/fantastic fiction film, disaster film, adventure film, drama film",53.0,140000000.0,553709788.0
Arrival,2016.0,"thriller film, mystery film, drama film, science fiction film",84.0,47000000.0,203388186.0
Arsenic and Old Lace,1944.0,"film noir, comedy thriller, film based on literature, comedy film",75.0,1164000.0,4784000.0
Assassin’s Creed,2016.0,"action film, fantasy film, science fiction film, adventure film",18.0,125000000.0,240942515.0
Atomic Blonde,2017.0,"action film, LGBT-related film, spy film, thriller film, girls with guns",66.0,30000000.0,100014025.0
Austin Powers in Goldmember,2002.0,"parody film, spy film",58.0,63000000.0,296700000.0
