title,release_year,genres,score,budget,revenue
친절한 금자씨,2006.0,"rape and revenge film, drama film",76.0,4500000.0,23834149.0
速度与激情8,2017.0,"crime film, action film",61.0,250000000.0,1236005118.0
良種動物,2018.0,"thriller film, drama film",73.0,5000000.0,3187255.0
喋血街頭,1991.0,"crime film, war film, thriller film, gangster film, action film, drama film",100.0,3500000.0,8545123.0
スパイダーマン:ホームカミング,2017.0,"action film, superhero film",76.0,175000000.0,880166924.0
Æon Flux,2005.0,"Action, Science Fiction",54.0,62000000.0,52304001.0
¡Three Amigos!,1986.0,"Comedy, Adventure, Western",63.0,25000000.0,39200000.0
xXx: State of the Union,2005.0,"Action, Adventure, Crime, Drama, Mystery, Thriller",47.0,60000000.0,71073932.0
xXx: Return of Xander Cage,2017.0,"Action, Adventure, Crime",55.0,85000000.0,346147658.0
xXx,2002.0,"Action, Adventure, Thriller",58.0,70000000.0,277448382.0
x,2022.0,"slasher film, horror film",94.0,1000000.0,14660611.0
"tick, tick... BOOM!",2021.0,"Drama, Music",77.0,119800000.0,552113772.8
"sex, lies, and videotape",1989.0,Drama,69.0,1200000.0,24741667.0
mother!,2017.0,"Drama, Horror, Mystery",70.0,30000000.0,44516999.0
mid90s,2019.0,"Drama, Comedy",75.0,258158.0,6897446.0
iParty with Victorious,2011.0,"TV Movie, Comedy, Family, Music",76.0,135000000.0,547825373.4
iCarly: iGo to Japan,2008.0,"Comedy, Family",68.0,120400000.0,461753653.4
iBoy,2017.0,"Action, Science Fiction",60.0,1500000.0,23533154.4
eXistenZ,1999.0,"Action, Thriller, Science Fiction, Horror",67.0,20700000.0,2856712.0
"ariana grande: excuse me, i love you",2020.0,"Music, Documentary",82.0,106800000.0,704045288.8
[REC]²,2009.0,"Thriller, Horror",65.0,5600000.0,18469680.0
[REC],2007.0,"Horror, Mystery",71.0,1500000.0,30448000.0
Zyzzyx Road,2006.0,Thriller,38.0,2000000.0,30.0
Zulu,1964.0,"Action, Drama, History, War",74.0,3500000.0,8000000.0
Zootopia,2016.0,"Animation, Adventure, Family, Comedy",77.0,150000000.0,1023784195.0
Zoombies,2016.0,"Science Fiction, Action, Horror",52.0,90800000.0,245520574.6
Zoom,2006.0,"Family, Fantasy, Comedy",49.0,35000000.0,12506188.0
Zoolander 2,2016.0,Comedy,47.0,50000000.0,55969000.0
Zoolander,2001.0,Comedy,61.0,28000000.0,60780981.0
Zookeeper,2011.0,"Comedy, Romance, Family",53.0,80000000.0,169852759.0
Zone 414,2021.0,"Science Fiction, Thriller, Mystery",54.0,5000000.0,54969744.8
Zombies: A Living History,2011.0,Documentary,70.0,100140523.8,625891229.0
Zombieland: Double Tap,2019.0,"Comedy, Horror",70.0,48000000.0,125213018.0
Zombieland,2009.0,"Comedy, Horror",72.0,23600000.0,102391382.0
Zombie Wars,2007.0,Horror,41.0,118800000.0,162020273.4
Zombie Strippers!,2008.0,"Comedy, Horror",48.0,109000000.0,863034975.4
Zombie Shark,2015.0,"Horror, Science Fiction, TV Movie, Action",41.0,101800000.0,858637629.0
Zombie Apocalypse,2011.0,"Action, Horror, Science Fiction",54.0,159600000.0,459045829.8
Zombeavers,2015.0,"Horror, Action, Comedy",49.0,2401100.0,14947.0
Zola,2021.0,"Comedy, Crime",62.0,5000000.0,5170200.0
Zog and the Flying Doctors,2021.0,"Animation, Family",66.0,127000000.0,325823441.8
Zodiac,2007.0,"Crime, Drama, Mystery, Thriller",73.0,85000000.0,84785914.0
Zid,2014.0,"Thriller, Romance",45.0,1556288.0,1268395.0
Zeros and Ones,2022.0,"War, Thriller",50.0,154600000.0,678277032.0
Zero Effect,1998.0,"Comedy, Crime, Mystery, Thriller",60.0,5000000.0,1980338.0
Zero Dark Thirty,2013.0,"Thriller, Drama, History",70.0,52500000.0,134612435.0
Zero Dark Thirty,2012.0,"Thriller, Drama, History",67.0,52500000.0,132820716.0
Zebra Lounge,2001.0,Thriller,39.0,102000000.0,813941432.2
Zaytoun,2012.0,"Drama, War, Adventure, Thriller",66.0,8000000.0,1000000.0
Zathura: A Space Adventure,2005.0,"Family, Fantasy, Science Fiction, Adventure",61.0,65000000.0,64321501.0
Zapped!,1982.0,Comedy,53.0,97250080.0,462439605.0
Zandalee,1992.0,"Drama, Romance, Thriller",40.0,101800000.0,858637629.0
Zambezia,2012.0,"Comedy, Animation, Adventure, Family",60.0,20000000.0,34454336.0
Zack and Miri Make a Porno,2008.0,Comedy,61.0,24000000.0,42105111.0
Zack Snyder's Justice League,2021.0,"Action, Adventure, Fantasy, Science Fiction",82.0,70000000.0,136635234.2
Zabriskie Point,1970.0,"Drama, Romance",71.0,7000000.0,1000000.0
Z-O-M-B-I-E-S 3,2022.0,"Music, Fantasy, Comedy, Science Fiction, Family, TV Movie",76.0,36000000.0,141613530.8
Z-O-M-B-I-E-S 2,2020.0,"Music, Romance, TV Movie",76.0,93000000.0,280518514.2
Z-O-M-B-I-E-S,2018.0,"Music, Fantasy, Comedy, Romance, TV Movie",73.0,141000000.0,784656457.6
Yves Saint Laurent,2014.0,Drama,64.0,12000000.0,21026290.0
Yu-Gi-Oh! The Movie,2004.0,"Adventure, Fantasy, Animation, Action, Comedy, Thriller, Science Fiction, Family",54.0,20000000.0,29170410.0
You’re Killing Me,2023.0,"Horror, Thriller",0.0,183540000.0,175269998.8
Youth,2015.0,"Comedy, Drama",67.0,13360000.0,2000000.0
"Yours, Mine & Ours",2005.0,"Comedy, Family, Romance",57.0,45000000.0,72028752.0
Your Ticket Is No Longer Valid,1981.0,Drama,37.0,58670000.0,385960548.2
Your Sister's Sister,2011.0,"Drama, Comedy",65.0,125000.0,3200000.0
Your Place or Mine,2023.0,"Romance, Comedy",64.0,105400000.0,286421986.2
Your Highness,2011.0,Comedy,52.0,50000000.0,26121638.0
Your Friends & Neighbors,1998.0,"Drama, Comedy",59.0,5000000.0,4710749.0
Your Friend the Rat,2007.0,"Animation, Family",67.0,112800000.0,356126924.8
Your Christmas Or Mine?,2022.0,"Romance, Comedy",65.0,81000000.0,383536021.0
Your Boyfriend Is Mine,2022.0,"Thriller, TV Movie, Action",68.0,115500000.0,468695206.8
Youngblood,1986.0,"Drama, Romance",62.0,100200000.0,288405522.6
Young Sherlock Holmes,1985.0,Adventure,68.0,18000000.0,19739000.0
Young People Fucking,2008.0,"Comedy, Drama, Romance",57.0,1500000.0,5901645.8
Young Lady Chatterley,1977.0,"Comedy, Drama",51.0,132200000.0,249632395.4
