title,genres,score,budget,revenue,release_year,budget_adjusted,revenue_adjusted
Independence day – Maailmojen sota,,66.0,75000000.0,817400891.0,1996,139892447.418738,1524642815.523295
Die Hard with a Vengeance,,61.0,90000000.0,366101666.0,1995,172827755.90551177,703028104.0894357
Kill Bill Volume 1,,77.0,30000000.0,180906076.0,2003,47715489.13043478,287734063.43358696
Die Hard 4.0,,82.0,110000000.0,388156011.0,2007,155260632.19222346,547866796.8824694
Man on a Ledge,Action,62.0,42000000.0,46221189.0,2012,53535850.23998884,58916444.10043381
Man on Fire,Action,73.0,70000000.0,130293714.0,2004,108448120.6987824,201858691.7452091
Rush Hour 3,Action,61.0,180000000.0,258022233.0,2007,254062852.67818385,364188136.5020834
Next Avengers: Heroes of Tomorrow,Action,69.0,53620000.0,3800000.0,2008,72884080.11035609,5165227.609462014
Shark Bait,Action,59.0,106000000.0,591557010.2,2022,106000000.0,591557010.2
The Lord of the Rings: The Fellowship of the Ring,Action,80.0,93000000.0,871368364.0,2001,153681055.90062112,1439922690.9453416
Dhoom 2,Action,59.0,11000000.0,46396427.0,2006,15968278.769841269,67351916.38732639
The Lord of the Rings: The Return of the King,Action,81.0,94000000.0,1118888979.0,2003,149508532.60869563,1779611163.8545923
First Kill,Action,57.0,10000000.0,4606335.6,2017,11939254.242819842,5499621.185615207
The Lord of the Rings: The Two Towers,Action,80.0,94000000.0,926287400.0,2002,152915897.72095606,1506851801.261812
LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!,Action,70.0,122800000.0,418584467.0,2015,151626398.10646495,516844096.3723488
Rush Hour 2,Action,64.0,90000000.0,347325802.0,2001,148723602.48447204,573950494.547205
Ghostbusters,Action,53.0,144000000.0,229147509.0,2016,175587878.6868716,279413368.1367418
Chicago,Action,69.0,45000000.0,306776732.0,2002,73204419.12173429,499053610.3583101
LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,Action,69.0,133400000.0,732081775.6,2016,162662659.83908802,892671430.5758498
Stop! Or My Mom Will Shoot,Action,53.0,6345817.8,70611210.0,1992,13236887.443043476,147289548.55702066
The Longest Day,Action,73.0,10000000.0,50100000.0,1962,96905629.13907284,485497201.9867549
Riddick,Action,62.0,38000000.0,98337295.0,2013,47737951.6391437,123537395.60616335
The Losers,Action,62.0,25000000.0,23580000.0,2010,33552734.16003228,31646938.859742444
Ong Bak 2,Action,59.0,8500000.0,8936663.0,2008,11553798.6001124,12147341.701067798
Bulletproof Monk,Action,55.0,52000000.0,26922492.0,2003,82706847.82608695,42820662.47967391
A Score to Settle,Action,60.0,100200000.0,681846023.4,2019,114700677.07905512,780520963.549314
Tomb Raider,Action,64.0,90000000.0,273477501.0,2018,104891341.14142576,318726909.46550673
S.W.A.T.,Action,58.0,80000000.0,116643346.0,2003,127241304.34782606,185523143.6066848
Epic Movie,Action,32.0,20000000.0,86865564.0,2007,28229205.853131536,122607294.3852186
American Sicario,Action,60.0,102600000.0,208453066.2,2021,110810801.93379338,225135004.2025353
The Bad Guys,Action,77.0,70000000.0,250659286.0,2022,70000000.0,250659286.0
The Lone Ranger,Action,59.0,255000000.0,89289910.0,2013,320346780.73635906,112171510.66956563
Ready to Rumble,Action,47.0,24000000.0,12372410.0,2000,40788153.31010453,21026989.82897793
Black Adam,Action,71.0,200000000.0,391261706.0,2022,200000000.0,391261706.0
Batman and Harley Quinn,Action,61.0,3500000.0,116862157.6,2017,4178738.9849869446,139524701.0950881
Tom and Jerry: The Magic Ring,Action,64.0,135800000.0,514285091.2,2002,220914669.2607004,836620919.2058698
The Long Kiss Goodnight,Action,64.0,65000000.0,89456761.0,1996,121240121.09623964,166857669.79257488
First Knight,Action,59.0,75000000.0,127600435.0,1995,144023129.92125982,245032187.04019025
Good People,Action,55.0,6440000.0,1857574.0,2015,7951742.702000278,2293625.853715134
L.E.T.H.A.L. Ladies: Return to Savage Beach,Action,63.0,95200000.0,405026088.6,1998,170924883.4355828,727195766.6210613
Hot Shots! Part Deux,Action,62.0,25000000.0,133752825.0,1993,50632352.94117647,270888809.6911765
Tom and Jerry: The Fast and the Furry,Action,69.0,123440000.0,705791389.6,2005,184973544.2908346,1057620988.8550332
Stormbreaker,Action,51.0,40000000.0,23937870.0,2006,58066468.25396825,34749689.21056548
The Lost City,Action,66.0,74000000.0,182921990.0,2022,74000000.0,182921990.0
One-Eyed Jacks,Action,62.0,6000000.0,4300000.0,1961,58726755.85284281,42087508.36120401
Batman Returns,Action,66.0,80000000.0,280000000.0,1992,166873841.76764074,584058446.1867425
News of the World,Action,70.0,38000000.0,12668325.0,2021,41041037.753256805,13682136.963040186
In the Line of Fire,Action,68.0,40000000.0,176997168.0,1993,81011764.70588234,358471323.1905882
Firewalker,Action,53.0,18145817.8,11949484.0,1986,48453141.49871351,31907629.92718978
"Crouching Tiger, Hidden Dragon",Action,72.0,17000000.0,213525736.0,2000,28891608.594657376,362888352.3175377
American Outlaws,Action,57.0,35000000.0,13678913.0,2001,57836956.52173912,22604191.32701863
Dhoom 3,Action,60.0,24000000.0,91000000.0,2013,30150285.24577497,114319831.55689676
Highlander: Endgame,Action,44.0,25000000.0,15843608.0,2000,42487659.69802555,26926313.00371661
Eragon,Action,49.0,100000000.0,249288105.0,2006,145166170.63492063,361881995.8768601
Carlito's Way,Action,77.0,30000000.0,36516012.0,1993,60758823.52941176,73955664.3035294
American Ninja 4: The Annihilation,Action,52.0,78000000.0,597766709.8,1991,167599779.73568282,1284430370.4590237
Deadpool 2,Action,75.0,110000000.0,786362370.0,2018,128200528.0617426,916473373.4716674
Titanic II,Action,49.0,96200000.0,747112636.6,2010,129110921.0478042,1002706867.337624
American Ninja 2: The Confrontation,Action,54.0,350000.0,4000000.0,1987,901665.9330985916,10304753.52112676
American Ninja,Action,55.0,1000000.0,10499694.0,1985,2719842.007434944,28557508.80641264
Death Wish 3,Action,61.0,9000000.0,16945171.0,1985,24478578.06691449,46088187.9089684
Equilibrium,Action,69.0,20000000.0,5359645.0,2002,32535297.38743746,8718882.198304612
The Avengers,Action,91.0,220000000.0,1518812988.0,2011,286229155.45992464,1976038903.8945668
Real Steel,Action,66.0,110000000.0,299268508.0,2011,143114577.72996232,389360783.1845078
Man of the House,Action,57.0,50000000.0,22099706.0,2005,74924475.16641064,33116177.467639524
Tom Clancy's Without Remorse,Action,70.0,88200000.0,541630998.4,2021,95258408.67992765,584976269.8333837
The Lost City of Z,Action,61.0,30000000.0,8574339.0,2016,36580808.05976492,10455208.306611888
Man of Tai Chi,Action,58.0,25000000.0,2054941.0,2013,31406547.13101559,2581544.0547182523
The Lost Viking,Action,64.0,109600000.0,590859548.2,2018,127734344.32333626,688622782.6323879
Rush Hour,Action,68.0,35000000.0,244386864.0,1998,62840030.67484661,438779372.2939877
Next,Action,59.0,70000000.0,76066841.0,2007,98802220.48596036,107365325.65932132
The Lost World: Jurassic Park,Action,62.0,75000000.0,229074524.0,1997,136754672.89719623,417693487.9826791
Batman Unlimited: Monster Mayhem,Action,64.0,172000000.0,326252132.8,2015,212375736.7614981,402837424.8454077
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Action,67.0,57400000.0,364407202.8,2015,70874228.43087204,449949117.3014341
First Blood,Action,72.0,15000000.0,125212904.0,1982,45490414.50777202,379732460.3121243
Cannonball,Action,57.0,780000.0,1500000.0,1976,4011790.861159929,7714982.425307556
Man of Steel,Action,65.0,225000000.0,662845518.0,2013,282658924.1791403,832707560.0659778
Shark Tale,Action,58.0,75000000.0,367275019.0,2004,116194415.03440972,569004079.8594229
To Rob a Thief,Action,66.0,4002313.0,1000000.0,2007,5649105.878283222,1411460.292656577
Murder at 1600,Action,61.0,40000000.0,25804707.0,1997,72935825.54517132,47052190.199906535
Cannonball Run II,Action,55.0,9225817.8,28078073.0,1984,25986349.45388835,79087473.08772857
Tombstone,Action,74.0,25000000.0,56505065.0,1993,50632352.94117647,114439375.7617647
S.W.A.T.: Firefight,Action,58.0,8000000.0,50940321.4,2011,10408332.925815444,66275478.05990512
American Siege,Action,56.0,114400000.0,695973395.6,2022,114400000.0,695973395.6
Silent Trigger,Action,54.0,15000000.0,1000000.0,1996,27978489.48374761,1865232.6322498403
Total Recall,Action,71.0,65000000.0,261317921.0,1990,145543802.60137722,585126214.0034813
Safe House,Action,63.0,85000000.0,208076205.0,2012,108346363.5809298,265227060.69964805
Stewie Griffin: The Untold Story,Action,69.0,126300000.0,401345912.0,2006,183344873.5119048,582618491.4501984
Kung Fu Jungle,Action,65.0,25000000.0,129115.0,2014,30905206.64368748,159613.03023198838
Ready Player One,Action,76.0,150000000.0,579055653.0,2018,174818901.90237623,674865822.6521562
Torrente 5: Operación Eurovegas,Action,52.0,9272437.0,11672363.0,2014,11462663.263022944,14429471.62140528
Canadian Bacon,Action,59.0,11000000.0,1000000.0,1995,21123392.38845144,1920308.3989501311
Kung Fu Hustle,Action,72.0,20000000.0,100914445.0,2004,30985177.34250926,156342598.73729485
